Age_Range,Age_Guess,Degree,Job_Title,Coding_Years,ML_Years,ML_Years_Guess,Salary_Range,Salary_Guess
35-39,39,Master's degree,DBA/Database Engineer,5-10 years,I do not use machine learning methods,0,"100,000-124,999",103296
35-39,39,Bachelor's degree,Data Scientist,5-10 years,4-5 years,5,"100,000-124,999",104765
35-39,39,Master's degree,Data Scientist,10-20 years,10-20 years,16,"100,000-124,999",110662
35-39,39,Master's degree,Statistician,5-10 years,4-5 years,5,"100,000-124,999",116189
35-39,39,Master's degree,Data Engineer,5-10 years,1-2 years,1,"100,000-124,999",117198
35-39,39,Master's degree,Business Analyst,10-20 years,10-20 years,14,"100,000-124,999",120899
35-39,35,Doctoral degree,Other,5-10 years,4-5 years,4,"125,000-149,999",137738
35-39,35,Master's degree,Data Analyst,3-5 years,2-3 years,3,"125,000-149,999",144308
35-39,35,Master's degree,Business Analyst,3-5 years,I do not use machine learning methods,0,"125,000-149,999",144773
35-39,35,Bachelor's degree,Data Scientist,10-20 years,1-2 years,1,"125,000-149,999",147434
35-39,36,Doctoral degree,Data Scientist,5-10 years,3-4 years,4,"125,000-149,999",134490
35-39,36,Master's degree,Data Scientist,3-5 years,3-4 years,3,"125,000-149,999",135667
35-39,36,Doctoral degree,Research Scientist,< 1 years,Under 1 year,0.4,"125,000-149,999",136958
35-39,36,Master's degree,Data Scientist,10-20 years,4-5 years,5,"125,000-149,999",141448
35-39,36,Master's degree,Product/Project Manager,I have never written code,,,"125,000-149,999",141621
35-39,36,Master's degree,Product/Project Manager,< 1 years,Under 1 year,0.2,"125,000-149,999",141878
35-39,36,Master's degree,Data Scientist,5-10 years,4-5 years,4,"125,000-149,999",143229
35-39,36,Some college/university study without earning a bachelor's degree,Machine Learning Engineer,5-10 years,2-3 years,2,"125,000-149,999",144495
35-39,36,Doctoral degree,Data Scientist,5-10 years,5-10 years,5,"125,000-149,999",144550
35-39,36,Bachelor's degree,Product/Project Manager,5-10 years,5-10 years,10,"125,000-149,999",145232
35-39,37,Bachelor's degree,Data Scientist,3-5 years,2-3 years,2,"125,000-149,999",128610
35-39,37,Master's degree,Data Scientist,5-10 years,10-20 years,17,"125,000-149,999",131035
35-39,37,Doctoral degree,Data Scientist,10-20 years,5-10 years,10,"125,000-149,999",134084
35-39,37,Master's degree,Other,< 1 years,I do not use machine learning methods,0,"125,000-149,999",145090
35-39,37,Master's degree,Data Engineer,1-2 years,3-4 years,4,"125,000-149,999",148339
35-39,37,Master's degree,Product/Project Manager,5-10 years,5-10 years,5,"125,000-149,999",149081
35-39,38,Bachelor's degree,Machine Learning Engineer,5-10 years,4-5 years,4,"125,000-149,999",126132
35-39,38,Doctoral degree,Research Scientist,10-20 years,20 or more years,28,"125,000-149,999",128743
35-39,38,Doctoral degree,Data Scientist,5-10 years,5-10 years,7,"125,000-149,999",129020
35-39,38,Bachelor's degree,Product/Project Manager,10-20 years,Under 1 year,0.6,"125,000-149,999",129465
35-39,38,Master's degree,Other,20+ years,5-10 years,8,"125,000-149,999",129529
35-39,38,Doctoral degree,Data Scientist,10-20 years,4-5 years,4,"125,000-149,999",133615
35-39,38,Bachelor's degree,Data Engineer,10-20 years,I do not use machine learning methods,0,"125,000-149,999",136616
35-39,38,Master's degree,Data Analyst,10-20 years,10-20 years,20,"125,000-149,999",138498
35-39,38,Master's degree,Data Scientist,5-10 years,5-10 years,8,"125,000-149,999",143275
35-39,38,Doctoral degree,Research Scientist,20+ years,2-3 years,3,"125,000-149,999",145423
35-39,39,Bachelor's degree,Product/Project Manager,3-5 years,I do not use machine learning methods,0,"125,000-149,999",126174
35-39,39,Some college/university study without earning a bachelor's degree,Data Scientist,10-20 years,5-10 years,5,"125,000-149,999",129531
35-39,39,Doctoral degree,Data Scientist,10-20 years,5-10 years,10,"125,000-149,999",132704
35-39,39,Doctoral degree,Data Scientist,5-10 years,3-4 years,4,"125,000-149,999",133323
35-39,39,Bachelor's degree,Software Engineer,10-20 years,Under 1 year,0.4,"125,000-149,999",137129
35-39,39,Master's degree,Data Scientist,10-20 years,10-20 years,10,"125,000-149,999",146516
35-39,39,Master's degree,Product/Project Manager,I have never written code,,,"125,000-149,999",148249
35-39,35,Doctoral degree,Research Scientist,10-20 years,3-4 years,4,"150,000-199,999",152104
35-39,35,Doctoral degree,Machine Learning Engineer,5-10 years,5-10 years,8,"150,000-199,999",152709
35-39,35,Master's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"150,000-199,999",167626
35-39,35,Bachelor's degree,Business Analyst,I have never written code,,,"150,000-199,999",170788
35-39,35,Doctoral degree,Data Scientist,5-10 years,3-4 years,3,"150,000-199,999",186238
35-39,35,Doctoral degree,Machine Learning Engineer,10-20 years,5-10 years,9,"150,000-199,999",188361
35-39,35,Master's degree,Data Scientist,3-5 years,3-4 years,4,"150,000-199,999",195994
35-39,35,Doctoral degree,Data Scientist,20+ years,10-20 years,15,"150,000-199,999",197551
35-39,36,Master's degree,Other,5-10 years,3-4 years,4,"150,000-199,999",161111
35-39,36,Doctoral degree,Machine Learning Engineer,10-20 years,4-5 years,4,"150,000-199,999",166029
35-39,36,Master's degree,Machine Learning Engineer,10-20 years,3-4 years,3,"150,000-199,999",177993
35-39,36,Doctoral degree,Machine Learning Engineer,5-10 years,5-10 years,6,"150,000-199,999",187444
35-39,36,Doctoral degree,Software Engineer,20+ years,10-20 years,18,"150,000-199,999",190538
35-39,36,Doctoral degree,Data Scientist,5-10 years,5-10 years,6,"150,000-199,999",190563
35-39,36,Doctoral degree,Data Scientist,10-20 years,10-20 years,13,"150,000-199,999",199511
35-39,37,Master's degree,Data Scientist,20+ years,10-20 years,15,"150,000-199,999",162602
35-39,37,Master's degree,Machine Learning Engineer,20+ years,5-10 years,7,"150,000-199,999",166666
35-39,37,Doctoral degree,Data Scientist,10-20 years,5-10 years,8,"150,000-199,999",167673
35-39,37,Doctoral degree,Other,10-20 years,4-5 years,5,"150,000-199,999",187381
35-39,37,Bachelor's degree,Other,20+ years,10-20 years,17,"150,000-199,999",187679
35-39,37,Master's degree,Software Engineer,10-20 years,5-10 years,5,"150,000-199,999",189650
35-39,37,Master's degree,Machine Learning Engineer,5-10 years,5-10 years,10,"150,000-199,999",192597
35-39,37,Doctoral degree,Data Scientist,10-20 years,4-5 years,4,"150,000-199,999",194549
35-39,38,Master's degree,Research Scientist,5-10 years,4-5 years,4,"150,000-199,999",152193
35-39,38,Bachelor's degree,Data Engineer,5-10 years,1-2 years,2,"150,000-199,999",160532
35-39,38,Master's degree,Data Engineer,5-10 years,2-3 years,3,"150,000-199,999",164537
35-39,38,Master's degree,Data Scientist,10-20 years,4-5 years,5,"150,000-199,999",169214
35-39,38,Master's degree,Data Scientist,3-5 years,1-2 years,2,"150,000-199,999",170203
35-39,38,Master's degree,Other,< 1 years,Under 1 year,0.8,"150,000-199,999",176210
35-39,38,Master's degree,Data Scientist,5-10 years,5-10 years,7,"150,000-199,999",183256
35-39,38,Master's degree,Data Scientist,10-20 years,4-5 years,4,"150,000-199,999",190026
35-39,38,Doctoral degree,Data Scientist,20+ years,4-5 years,4,"150,000-199,999",194964
35-39,38,Doctoral degree,Data Scientist,3-5 years,3-4 years,4,"150,000-199,999",195123
35-39,38,Master's degree,Data Scientist,3-5 years,4-5 years,4,"150,000-199,999",195693
35-39,38,Master's degree,Business Analyst,5-10 years,5-10 years,8,"150,000-199,999",195737
35-39,39,Professional degree,Product/Project Manager,1-2 years,Under 1 year,0.7,"150,000-199,999",156285
35-39,39,Doctoral degree,Machine Learning Engineer,10-20 years,2-3 years,2,"150,000-199,999",168699
35-39,39,Bachelor's degree,Machine Learning Engineer,10-20 years,2-3 years,2,"150,000-199,999",170260
35-39,39,Master's degree,Product/Project Manager,< 1 years,Under 1 year,0.1,"150,000-199,999",170508
35-39,39,Master's degree,Other,10-20 years,2-3 years,2,"150,000-199,999",171985
35-39,39,Doctoral degree,Data Scientist,10-20 years,3-4 years,4,"150,000-199,999",173640
35-39,39,Doctoral degree,Data Scientist,10-20 years,5-10 years,7,"150,000-199,999",178374
35-39,39,Master's degree,Machine Learning Engineer,5-10 years,4-5 years,5,"150,000-199,999",188007
35-39,39,Master's degree,Software Engineer,5-10 years,I do not use machine learning methods,0,"150,000-199,999",199340
35-39,37,Master's degree,Other,1-2 years,Under 1 year,0.5,"20,000-24,999",23951
35-39,38,Doctoral degree,Statistician,3-5 years,2-3 years,3,"20,000-24,999",21041
35-39,35,Doctoral degree,Research Scientist,10-20 years,3-4 years,3,"200,000-249,999",211559
35-39,35,Bachelor's degree,Data Scientist,10-20 years,5-10 years,9,"200,000-249,999",235881
35-39,36,Master's degree,Data Scientist,10-20 years,I do not use machine learning methods,0,"200,000-249,999",203748
35-39,36,Doctoral degree,Machine Learning Engineer,5-10 years,3-4 years,4,"200,000-249,999",213670
35-39,36,Master's degree,Business Analyst,10-20 years,2-3 years,2,"200,000-249,999",234683
35-39,36,Master's degree,Data Scientist,3-5 years,Under 1 year,0.5,"200,000-249,999",241863
35-39,36,Master's degree,Data Analyst,3-5 years,1-2 years,2,"200,000-249,999",245681
35-39,36,Master's degree,Product/Project Manager,10-20 years,5-10 years,10,"200,000-249,999",245967
35-39,37,Bachelor's degree,Machine Learning Engineer,10-20 years,4-5 years,4,"200,000-249,999",223925
35-39,37,Master's degree,Machine Learning Engineer,10-20 years,4-5 years,5,"200,000-249,999",238822
35-39,38,Master's degree,Data Scientist,10-20 years,5-10 years,7,"200,000-249,999",206325
35-39,38,Master's degree,Business Analyst,10-20 years,Under 1 year,1.0,"200,000-249,999",213438
35-39,38,Doctoral degree,Data Scientist,3-5 years,2-3 years,2,"200,000-249,999",220266
35-39,38,Bachelor's degree,Machine Learning Engineer,10-20 years,10-20 years,12,"200,000-249,999",249433
35-39,36,Doctoral degree,Research Scientist,3-5 years,4-5 years,4,"25,000-29,999",26677
35-39,36,Professional degree,Research Scientist,5-10 years,4-5 years,5,"250,000-299,999",280865
35-39,37,Master's degree,Data Scientist,10-20 years,5-10 years,6,"250,000-299,999",252010
35-39,37,Master's degree,Data Engineer,10-20 years,1-2 years,2,"250,000-299,999",255236
35-39,37,Master's degree,Software Engineer,10-20 years,5-10 years,10,"250,000-299,999",262825
35-39,37,Some college/university study without earning a bachelor's degree,Software Engineer,10-20 years,2-3 years,3,"250,000-299,999",299315
35-39,39,Master's degree,Product/Project Manager,< 1 years,I do not use machine learning methods,0,"250,000-299,999",257195
35-39,36,Bachelor's degree,Business Analyst,I have never written code,,,"30,000-39,999",31069
35-39,39,Master's degree,Other,1-2 years,Under 1 year,0.3,"30,000-39,999",30516
35-39,39,Doctoral degree,Research Scientist,1-2 years,Under 1 year,0.2,"30,000-39,999",30690
35-39,35,Doctoral degree,Data Scientist,10-20 years,10-20 years,20,"300,000-500,000",471476
35-39,36,Doctoral degree,Data Scientist,5-10 years,5-10 years,10,"300,000-500,000",359058
35-39,36,Doctoral degree,Data Engineer,10-20 years,10-20 years,12,"300,000-500,000",409427
35-39,37,Master's degree,Data Scientist,20+ years,10-20 years,20,"300,000-500,000",373834
35-39,37,Master's degree,Data Scientist,10-20 years,10-20 years,16,"300,000-500,000",499451
35-39,38,Doctoral degree,Data Analyst,5-10 years,4-5 years,5,"300,000-500,000",361221
35-39,37,Master's degree,Data Scientist,3-5 years,2-3 years,3,"4,000-4,999",5000
35-39,37,Doctoral degree,Research Scientist,10-20 years,10-20 years,11,"40,000-49,999",44776
35-39,38,Master's degree,Data Analyst,1-2 years,Under 1 year,0.2,"40,000-49,999",49124
35-39,39,Master's degree,Research Scientist,5-10 years,I do not use machine learning methods,0,"40,000-49,999",48028
35-39,35,Bachelor's degree,Other,< 1 years,I do not use machine learning methods,0,"50,000-59,999",50136
35-39,37,Master's degree,Data Analyst,5-10 years,I do not use machine learning methods,0,"50,000-59,999",58440
35-39,37,Master's degree,Data Scientist,5-10 years,1-2 years,2,"50,000-59,999",58761
35-39,39,Bachelor's degree,Other,1-2 years,Under 1 year,0.8,"50,000-59,999",50154
35-39,36,Bachelor's degree,Data Analyst,1-2 years,Under 1 year,0.6,"60,000-69,999",69141
35-39,37,Bachelor's degree,Business Analyst,< 1 years,Under 1 year,0.4,"60,000-69,999",62358
35-39,37,Master's degree,Statistician,3-5 years,2-3 years,3,"60,000-69,999",64035
35-39,37,Master's degree,Data Analyst,< 1 years,I do not use machine learning methods,0,"60,000-69,999",66069
35-39,37,Master's degree,Data Analyst,5-10 years,5-10 years,10,"60,000-69,999",67314
35-39,37,Master's degree,Data Analyst,3-5 years,2-3 years,3,"60,000-69,999",67876
35-39,38,Master's degree,Statistician,5-10 years,1-2 years,2,"60,000-69,999",67768
35-39,39,Master's degree,Business Analyst,< 1 years,I do not use machine learning methods,0,"60,000-69,999",65506
35-39,35,Master's degree,Data Analyst,3-5 years,2-3 years,3,"70,000-79,999",72757
35-39,35,Bachelor's degree,Machine Learning Engineer,20+ years,1-2 years,2,"70,000-79,999",78565
35-39,37,Master's degree,Machine Learning Engineer,10-20 years,2-3 years,3,"70,000-79,999",74640
35-39,37,Bachelor's degree,Software Engineer,5-10 years,Under 1 year,1.0,"70,000-79,999",74814
35-39,37,Bachelor's degree,Software Engineer,3-5 years,I do not use machine learning methods,0,"70,000-79,999",78325
35-39,37,Professional degree,Software Engineer,3-5 years,Under 1 year,0.5,"70,000-79,999",78666
35-39,38,Master's degree,Product/Project Manager,3-5 years,Under 1 year,0.7,"70,000-79,999",72415
35-39,39,Doctoral degree,Data Analyst,1-2 years,1-2 years,2,"70,000-79,999",71264
35-39,39,Master's degree,Other,1-2 years,I do not use machine learning methods,0,"70,000-79,999",73470
35-39,39,Master's degree,Data Analyst,< 1 years,Under 1 year,0.9,"70,000-79,999",74485
35-39,39,Master's degree,Data Analyst,3-5 years,I do not use machine learning methods,0,"70,000-79,999",77653
35-39,39,Master's degree,Data Analyst,3-5 years,Under 1 year,0.5,"70,000-79,999",77724
35-39,39,Master's degree,Data Analyst,3-5 years,1-2 years,1,"70,000-79,999",78040
35-39,39,Master's degree,Data Analyst,10-20 years,I do not use machine learning methods,0,"70,000-79,999",79361
35-39,35,Bachelor's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"80,000-89,999",80415
35-39,35,Bachelor's degree,Other,< 1 years,Under 1 year,0.9,"80,000-89,999",83644
35-39,35,Master's degree,Data Scientist,10-20 years,5-10 years,10,"80,000-89,999",85748
35-39,35,Master's degree,Other,1-2 years,Under 1 year,0.4,"80,000-89,999",87918
35-39,37,Doctoral degree,Other,5-10 years,4-5 years,5,"80,000-89,999",86271
35-39,37,Bachelor's degree,Software Engineer,10-20 years,1-2 years,1,"80,000-89,999",88734
35-39,37,Master's degree,Data Scientist,5-10 years,3-4 years,4,"80,000-89,999",88899
35-39,38,Master's degree,Data Analyst,1-2 years,Under 1 year,0.3,"80,000-89,999",81997
35-39,38,Bachelor's degree,Business Analyst,1-2 years,1-2 years,1,"80,000-89,999",84901
35-39,38,Bachelor's degree,Software Engineer,5-10 years,I do not use machine learning methods,0,"80,000-89,999",86276
35-39,38,Master's degree,Product/Project Manager,I have never written code,,,"80,000-89,999",87489
35-39,38,Master's degree,Data Scientist,3-5 years,2-3 years,2,"80,000-89,999",87711
35-39,39,Master's degree,Data Scientist,3-5 years,3-4 years,4,"80,000-89,999",87636
35-39,39,Bachelor's degree,Data Analyst,5-10 years,1-2 years,2,"80,000-89,999",88101
35-39,35,Master's degree,Data Scientist,3-5 years,3-4 years,3,"90,000-99,999",91068
35-39,35,Some college/university study without earning a bachelor's degree,Data Analyst,1-2 years,1-2 years,1,"90,000-99,999",91790
35-39,35,Master's degree,Other,10-20 years,5-10 years,8,"90,000-99,999",92289
35-39,35,Some college/university study without earning a bachelor's degree,Software Engineer,3-5 years,1-2 years,2,"90,000-99,999",93134
35-39,35,I prefer not to answer,DBA/Database Engineer,5-10 years,I do not use machine learning methods,0,"90,000-99,999",97817
35-39,36,Master's degree,Data Scientist,5-10 years,10-20 years,20,"90,000-99,999",90202
35-39,36,Master's degree,Data Engineer,1-2 years,Under 1 year,0.0,"90,000-99,999",91468
35-39,36,Doctoral degree,Research Scientist,3-5 years,2-3 years,2,"90,000-99,999",96463
35-39,36,Master's degree,Data Scientist,3-5 years,3-4 years,4,"90,000-99,999",97017
35-39,36,Bachelor's degree,Software Engineer,10-20 years,Under 1 year,0.7,"90,000-99,999",97757
35-39,36,Bachelor's degree,Product/Project Manager,1-2 years,1-2 years,1,"90,000-99,999",98640
35-39,36,Bachelor's degree,Data Analyst,5-10 years,1-2 years,1,"90,000-99,999",98725
35-39,37,Master's degree,Business Analyst,5-10 years,Under 1 year,0.0,"90,000-99,999",91146
35-39,37,Master's degree,Business Analyst,3-5 years,2-3 years,2,"90,000-99,999",92559
35-39,37,Doctoral degree,Product/Project Manager,10-20 years,1-2 years,1,"90,000-99,999",98471
35-39,37,Master's degree,Product/Project Manager,< 1 years,Under 1 year,0.5,"90,000-99,999",98955
35-39,38,Master's degree,Data Engineer,3-5 years,2-3 years,3,"90,000-99,999",94155
35-39,38,Master's degree,Business Analyst,3-5 years,Under 1 year,0.1,"90,000-99,999",99936
35-39,39,Master's degree,Data Scientist,3-5 years,3-4 years,3,"90,000-99,999",94742
35-39,39,Master's degree,Data Scientist,5-10 years,4-5 years,4,"90,000-99,999",98967
35-39,35,Bachelor's degree,Data Engineer,10-20 years,2-3 years,2,,
35-39,35,Doctoral degree,Currently not employed,3-5 years,2-3 years,2,,
35-39,35,Master's degree,Data Scientist,3-5 years,3-4 years,3,,
35-39,35,Doctoral degree,Software Engineer,3-5 years,4-5 years,5,,
35-39,35,Some college/university study without earning a bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
35-39,35,Bachelor's degree,Currently not employed,< 1 years,Under 1 year,0.5,,
35-39,35,Master's degree,Student,1-2 years,Under 1 year,0.7,,
35-39,35,Master's degree,Other,3-5 years,Under 1 year,0.3,,
35-39,35,Bachelor's degree,Currently not employed,5-10 years,,,,
35-39,35,Bachelor's degree,,,,,,
35-39,35,Master's degree,Data Scientist,10-20 years,,,,
35-39,35,Master's degree,Data Scientist,10-20 years,,,,
35-39,35,Master's degree,Software Engineer,10-20 years,,,,
35-39,35,Master's degree,Research Scientist,10-20 years,,,,
35-39,35,Master's degree,Data Analyst,3-5 years,,,,
35-39,35,Master's degree,Data Scientist,3-5 years,,,,
35-39,35,Master's degree,Product/Project Manager,1-2 years,,,,
35-39,36,Doctoral degree,Currently not employed,1-2 years,1-2 years,1,,
35-39,36,Master's degree,Student,3-5 years,1-2 years,1,,
35-39,36,Bachelor's degree,DBA/Database Engineer,3-5 years,2-3 years,2,,
35-39,36,Doctoral degree,Student,3-5 years,2-3 years,2,,
35-39,36,Master's degree,Product/Project Manager,20+ years,I do not use machine learning methods,0,,
35-39,36,Master's degree,Student,< 1 years,Under 1 year,0.9,,
35-39,36,Master's degree,Student,1-2 years,Under 1 year,0.8,,
35-39,36,Master's degree,Currently not employed,5-10 years,Under 1 year,0.1,,
35-39,36,Master's degree,Student,3-5 years,,,,
35-39,36,Master's degree,Data Analyst,1-2 years,,,,
35-39,36,Master's degree,,,,,,
35-39,36,Some college/university study without earning a bachelor's degree,,,,,,
35-39,37,Master's degree,Product/Project Manager,5-10 years,2-3 years,3,,
35-39,37,Bachelor's degree,Currently not employed,< 1 years,I do not use machine learning methods,0,,
35-39,37,Master's degree,Currently not employed,5-10 years,I do not use machine learning methods,0,,
35-39,37,Bachelor's degree,Currently not employed,10-20 years,Under 1 year,0.6,,
35-39,37,Doctoral degree,Currently not employed,1-2 years,Under 1 year,0.0,,
35-39,37,Doctoral degree,Student,< 1 years,Under 1 year,0.8,,
35-39,37,Master's degree,Software Engineer,10-20 years,Under 1 year,0.3,,
35-39,37,Master's degree,Student,< 1 years,Under 1 year,0.4,,
35-39,37,Bachelor's degree,Currently not employed,1-2 years,,,,
35-39,37,Master's degree,,,,,,
35-39,37,Some college/university study without earning a bachelor's degree,Currently not employed,I have never written code,,,,
35-39,38,Doctoral degree,Currently not employed,10-20 years,1-2 years,2,,
35-39,38,Doctoral degree,Student,3-5 years,2-3 years,3,,
35-39,38,Master's degree,Software Engineer,20+ years,2-3 years,3,,
35-39,38,Master's degree,Software Engineer,10-20 years,3-4 years,3,,
35-39,38,Doctoral degree,Currently not employed,1-2 years,4-5 years,5,,
35-39,38,Bachelor's degree,Software Engineer,3-5 years,I do not use machine learning methods,0,,
35-39,38,Bachelor's degree,Other,1-2 years,Under 1 year,0.8,,
35-39,38,Master's degree,Data Scientist,3-5 years,,,,
35-39,39,Master's degree,Software Engineer,10-20 years,1-2 years,1,,
35-39,39,Master's degree,Currently not employed,1-2 years,1-2 years,2,,
35-39,39,Master's degree,Currently not employed,5-10 years,2-3 years,2,,
35-39,39,Bachelor's degree,Currently not employed,5-10 years,I do not use machine learning methods,0,,
35-39,39,Master's degree,Student,1-2 years,I do not use machine learning methods,0,,
35-39,39,Some college/university study without earning a bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
35-39,39,Some college/university study without earning a bachelor's degree,Student,< 1 years,I do not use machine learning methods,0,,
35-39,39,I prefer not to answer,Currently not employed,1-2 years,Under 1 year,0.7,,
35-39,39,Master's degree,Student,1-2 years,Under 1 year,0.1,,
35-39,39,Bachelor's degree,Currently not employed,I have never written code,,,,
35-39,39,Doctoral degree,Student,3-5 years,,,,
35-39,39,Master's degree,Currently not employed,I have never written code,,,,
35-39,39,Master's degree,,,,,,
35-39,39,Master's degree,Currently not employed,,,,,
35-39,39,Master's degree,Currently not employed,I have never written code,,,,
35-39,39,Master's degree,Currently not employed,I have never written code,,,,
40-44,41,Doctoral degree,Other,20+ years,5-10 years,8,"> $500,000",572122
40-44,41,Doctoral degree,Software Engineer,20+ years,5-10 years,10,"> $500,000",766693
40-44,42,Doctoral degree,Data Scientist,20+ years,20 or more years,28,"> $500,000",743786
40-44,40,Bachelor's degree,Software Engineer,10-20 years,Under 1 year,0.1,$0-999,70
40-44,40,Bachelor's degree,Other,1-2 years,I do not use machine learning methods,0,$0-999,424
40-44,40,Master's degree,Machine Learning Engineer,5-10 years,5-10 years,10,$0-999,705
40-44,41,Bachelor's degree,Data Scientist,3-5 years,I do not use machine learning methods,0,$0-999,382
40-44,41,Master's degree,Software Engineer,20+ years,3-4 years,4,$0-999,664
40-44,42,Professional degree,Other,10-20 years,I do not use machine learning methods,0,$0-999,880
40-44,44,Bachelor's degree,Research Scientist,10-20 years,2-3 years,2,$0-999,312
40-44,44,Master's degree,Other,< 1 years,I do not use machine learning methods,0,$0-999,429
40-44,40,Doctoral degree,Research Scientist,20+ years,5-10 years,10,"100,000-124,999",103612
40-44,40,Master's degree,Software Engineer,10-20 years,I do not use machine learning methods,0,"100,000-124,999",104198
40-44,40,Doctoral degree,Data Analyst,5-10 years,10-20 years,11,"100,000-124,999",110514
40-44,40,Doctoral degree,Data Scientist,10-20 years,5-10 years,5,"100,000-124,999",110545
40-44,40,Doctoral degree,Data Scientist,5-10 years,4-5 years,5,"100,000-124,999",114961
40-44,40,Master's degree,Other,3-5 years,1-2 years,2,"100,000-124,999",118069
40-44,40,Bachelor's degree,Software Engineer,5-10 years,I do not use machine learning methods,0,"100,000-124,999",119424
40-44,40,Master's degree,Data Engineer,10-20 years,1-2 years,1,"100,000-124,999",124286
40-44,41,Master's degree,Business Analyst,20+ years,I do not use machine learning methods,0,"100,000-124,999",102671
40-44,41,Master's degree,Software Engineer,10-20 years,4-5 years,5,"100,000-124,999",105523
40-44,41,Doctoral degree,Research Scientist,10-20 years,5-10 years,7,"100,000-124,999",108732
40-44,41,Master's degree,Data Engineer,10-20 years,2-3 years,2,"100,000-124,999",112290
40-44,41,Professional degree,Data Analyst,10-20 years,4-5 years,5,"100,000-124,999",114349
40-44,41,Master's degree,Machine Learning Engineer,3-5 years,3-4 years,4,"100,000-124,999",120158
40-44,41,Doctoral degree,Other,10-20 years,5-10 years,6,"100,000-124,999",122364
40-44,41,Bachelor's degree,Data Engineer,1-2 years,I do not use machine learning methods,0,"100,000-124,999",123760
40-44,41,Doctoral degree,Research Scientist,20+ years,10-20 years,15,"100,000-124,999",123978
40-44,42,Master's degree,Data Analyst,< 1 years,Under 1 year,0.2,"100,000-124,999",100607
40-44,42,Master's degree,Business Analyst,10-20 years,Under 1 year,0.7,"100,000-124,999",104066
40-44,42,Doctoral degree,Other,10-20 years,Under 1 year,0.1,"100,000-124,999",121616
40-44,43,Master's degree,Other,3-5 years,Under 1 year,0.4,"100,000-124,999",100295
40-44,43,Bachelor's degree,Other,5-10 years,3-4 years,3,"100,000-124,999",112913
40-44,43,Master's degree,Other,3-5 years,2-3 years,3,"100,000-124,999",122323
40-44,43,Bachelor's degree,Other,3-5 years,Under 1 year,0.1,"100,000-124,999",123756
40-44,44,Master's degree,Software Engineer,20+ years,I do not use machine learning methods,0,"100,000-124,999",104396
40-44,44,Master's degree,Data Analyst,3-5 years,Under 1 year,0.9,"100,000-124,999",112549
40-44,44,Master's degree,Data Engineer,< 1 years,I do not use machine learning methods,0,"100,000-124,999",113865
40-44,44,Professional degree,Data Analyst,5-10 years,2-3 years,2,"100,000-124,999",114759
40-44,44,Master's degree,Data Analyst,10-20 years,I do not use machine learning methods,0,"100,000-124,999",116645
40-44,44,Doctoral degree,Research Scientist,5-10 years,5-10 years,7,"100,000-124,999",119510
40-44,44,Doctoral degree,Data Scientist,20+ years,4-5 years,5,"100,000-124,999",123438
40-44,44,Master's degree,Data Analyst,1-2 years,1-2 years,1,"100,000-124,999",124747
40-44,40,Doctoral degree,Data Scientist,3-5 years,3-4 years,3,"125,000-149,999",133966
40-44,40,Doctoral degree,Statistician,20+ years,1-2 years,2,"125,000-149,999",138849
40-44,40,Master's degree,Other,10-20 years,1-2 years,2,"125,000-149,999",143078
40-44,40,Master's degree,Product/Project Manager,5-10 years,4-5 years,4,"125,000-149,999",144782
40-44,40,Bachelor's degree,Software Engineer,10-20 years,Under 1 year,0.7,"125,000-149,999",146198
40-44,41,Professional degree,Other,3-5 years,Under 1 year,0.4,"125,000-149,999",129638
40-44,41,Doctoral degree,Other,1-2 years,1-2 years,1,"125,000-149,999",138427
40-44,41,Master's degree,Data Scientist,20+ years,20 or more years,24,"125,000-149,999",140904
40-44,41,Doctoral degree,Data Scientist,1-2 years,5-10 years,10,"125,000-149,999",143798
40-44,42,Some college/university study without earning a bachelor's degree,Machine Learning Engineer,10-20 years,10-20 years,16,"125,000-149,999",125345
40-44,42,Doctoral degree,Data Scientist,5-10 years,4-5 years,4,"125,000-149,999",127411
40-44,42,Bachelor's degree,Other,< 1 years,Under 1 year,0.7,"125,000-149,999",128123
40-44,42,Bachelor's degree,DBA/Database Engineer,10-20 years,I do not use machine learning methods,0,"125,000-149,999",132311
40-44,42,Bachelor's degree,Data Engineer,5-10 years,1-2 years,1,"125,000-149,999",134272
40-44,42,Bachelor's degree,Data Scientist,20+ years,2-3 years,3,"125,000-149,999",137531
40-44,42,Doctoral degree,Data Scientist,10-20 years,1-2 years,2,"125,000-149,999",147557
40-44,43,Master's degree,Data Scientist,10-20 years,5-10 years,5,"125,000-149,999",140786
40-44,43,Doctoral degree,Data Scientist,10-20 years,2-3 years,2,"125,000-149,999",142546
40-44,44,Bachelor's degree,Software Engineer,10-20 years,4-5 years,5,"125,000-149,999",128062
40-44,44,Bachelor's degree,Business Analyst,10-20 years,Under 1 year,0.2,"125,000-149,999",136162
40-44,44,Master's degree,DBA/Database Engineer,20+ years,4-5 years,5,"125,000-149,999",146351
40-44,40,No formal education past high school,Other,20+ years,5-10 years,6,"15,000-19,999",19449
40-44,40,Professional degree,Product/Project Manager,10-20 years,2-3 years,2,"150,000-199,999",151371
